Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
2187DAB3-76B5-4271-9FC8-54C3BD00F141,"2"" Round Circle Cutter",4,$2.64 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.66 ,,4,3,12,10/28/2022 13:03,R&M International - MoreThanBaking dot com,FALSE,,,$2.64 
50045F64-80C6-4659-96C3-0BAC0ED4EC07,"2.5"" Round Circle Cookie Cutter",24,$12.00 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.50 ,,24,2,1,12/16/2022 11:15,Cookie Cutters dot Com,FALSE,,,$12.00 
81AF761F-1EEA-46F4-A71D-817621F8DD4C,"4"" Round Circle Cutter",3,$2.04 ,Cookie Cutters,Shapes,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.68 ,,9,2,12,12/20/2022 15:34,R&M International - MoreThanBaking dot com,FALSE,,,$6.12 
EC4D4470-B512-49F5-BB13-3A78F3787828,"Ann Clark 3.5"" Square Cookie Cutter",4,$3.84 ,Cookie Cutters,Shapes,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.96 ,,4,2,12,11/30/2022 10:26,R&M International - MoreThanBaking dot com,FALSE,,,$3.84 
F80A0D64-6953-4528-B994-E72213BE3D69,"Ann Clark Arrow Cookie Cutter 4.5""x1.5""",4,$0.00 ,Cookie Cutters,Shapes,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,6,2,12,4/29/2022 11:23,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
F564C49F-1F94-4066-9E3F-7D321A806A5F,"Ann Clark Fluted Circle 4"" 8524A",8,$8.08 ,Cookie Cutters,Shapes,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.01 ,,10,2,12,11/8/2022 10:48,PME,FALSE,,,$10.10 
F2EE54F9-4AB8-4ECD-B80B-DA1047B70725,"Ann Clark Hexagon Cookie Cutter 3.25""x3.75"" 8178A",10,$8.00 ,Cookie Cutters,Shapes,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.80 ,,10,3,12,5/21/2022 11:26,PME,FALSE,,,$8.00 
183277E0-7350-4DC0-B5EA-800CEAF88A61,"Ann Clark XL Tapered Heart Cookie Cutter 5""x4.5"" 8476A",16,$17.28 ,Cookie Cutters,Shapes,8.18E+11,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.08 ,,16,1,12,8/13/2022 14:16,DecoPac,FALSE,,,$17.28 
D243F0DB-D236-4F10-8385-878FD67D4A8E,"Arch/Tombstone Cookie Cutter 3.5"" B1733",3,$2.10 ,Cookie Cutters,Shapes,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.70 ,,4,2,1,11/5/2022 11:12,DecoPac,FALSE,,,$2.80 
A74BE1CD-4BF3-443E-942D-8447925D3E45,Awareness Ribbon Cookie Cutter plastic pink,0,$0.00 ,Cookie Cutters,Shapes,30734020654,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/25/2021 14:11,DecoPac,FALSE,,,$0.00 
2389777A-ACC0-470C-8EF0-37093EEF7090,"Celebakes Heart Cookie Cutter, 3.75""",7,$7.91 ,Cookie Cutters,Shapes,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.13 ,,7,2,12,11/12/2022 13:10,CK Products,FALSE,,,$7.91 
2318B220-DA6B-4A7C-AA78-F0F962A1560D,"Chevron Cookie Cutter 5.5""x1.25""",0,$0.00 ,Cookie Cutters,Shapes,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,5/21/2022 10:44,CK Products,FALSE,,,$0.00 
434C1F05-53EF-4501-84BE-BD7A6157510F,"Club Cookie Cutter, painted black 3.25""x3.25""",1,$0.00 ,Cookie Cutters,Shapes,71581713276,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,12,3/1/2022 12:31,not tracked,FALSE,,,$0.00 
04244ED6-3D51-44A9-8388-5B6974A6A2E3,Cookie Countess Cookie Stick Cutter,3,$12.48 ,Cookie Cutters,Shapes,8.40E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.16 ,,3,1,6,11/12/2022 14:57,not tracked,FALSE,,,$12.48 
823A2572-A4BD-4E9C-9243-8906A6E44A37,Diamond 3.5” Metal Cookie Cutter,0,$0.00 ,Cookie Cutters,Shapes,71581013260,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/17/2021 14:10,CK Products,FALSE,,,$0.00 
BB6EA767-B8C1-4D87-8E61-DB5E818AE191,"Diamond Shape Cookie Cutter Painted Red 3""x3.5""",8,$0.00 ,Cookie Cutters,Shapes,71581713269,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,8,1,12,1/15/2022 14:57,CK Products,FALSE,,,$0.00 
292E1112-A456-4EA0-AE22-77EBEA0BA9B5,"Double Heart Cookie Cutter 3.5""x2.25""",9,$6.48 ,Cookie Cutters,Shapes,71581011457,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.72 ,,9,2,12,11/8/2022 15:36,CK Products,FALSE,,,$6.48 
582B0827-D7DB-4FDA-8C27-54A62804570A,"Fluted Shortbread Cookie Cutter 1x3"" B0900",4,$4.36 ,Cookie Cutters,Shapes,71581009003,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.09 ,,4,1,1,12/23/2022 13:50,CK Products,FALSE,,,$4.36 
4AE9D1C7-23AA-49AF-952C-6EAE7B9F6B3E,"Folk Heart Cookie Cutter 3"" 1360",4,$3.24 ,Cookie Cutters,Shapes,71581013604,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.81 ,,9,2,12,8/18/2022 12:14,not tracked,FALSE,,,$7.29 
39AE1208-CDCC-47EE-A4FD-2897EB89B93D,"Fox Run ""Mug Hug"" Cookie Cutter",6,$9.00 ,Cookie Cutters,Shapes,30734728345,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.50 ,,6,2,12,8/10/2022 16:53,CK Products,FALSE,,,$9.00 
710B45D6-BC02-4582-BA58-2313427CD452,Fox Run Puzzle Piece Cookie Cutter 6pc. set,3,$13.20 ,Cookie Cutters,Shapes,30734365403,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.40 ,,3,1,6,11/23/2022 11:34,CK Products,FALSE,,,$13.20 
C1B68935-BBDB-4032-99CE-CBE273A65197,"Mini Heart Fluted Cookie Cutter 1.5""",0,$0.00 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.64 ,,2,1,6,6/17/2022 11:14,CK Products,FALSE,,,$1.28 
C638BCFD-C984-4F99-919D-9B6BDA35C524,"Mini Round Fluted Cookie Cutter 1.5""",0,$0.00 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.64 ,,2,1,6,12/21/2021 11:11,CK Products,FALSE,,,$1.28 
2EFB1D71-A392-464B-AD81-67E061B7D7CF,"Mini Square Cookie Cutter 0.75""",2,$1.28 ,Cookie Cutters,Shapes,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.64 ,,2,1,6,11/26/2022 15:22,CK Products,FALSE,,,$1.28 
5B379BB3-DAE8-4F31-8BDA-24A50394DE5F,"Mini Square Cookie Cutter 1.5""",6,$3.84 ,Cookie Cutters,Shapes,71581016179,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.64 ,,6,2,12,9/9/2022 17:01,CK Products,FALSE,,,$3.84 
8048E935-C906-4D7A-B45C-C73BBEDA5219,"Mini Square Fluted Cookie Cutter 1.5""",3,$1.92 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.64 ,,5,1,6,11/18/2022 16:04,CK Products,FALSE,,,$3.20 
84DD8D74-0D36-495B-9137-EAFBD035C2B2,"Rectangle 3.5""x2.5""",12,$9.12 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.76 ,,12,2,12,8/3/2022 15:33,R&M International - MoreThanBaking dot com,FALSE,,,$9.12 
CAA527E9-609C-4027-BEFD-2B931A6CDD4F,"Semi-Circle/Taco Cookie Cutter 3.75"" B1542",11,$7.48 ,Cookie Cutters,Shapes,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.68 ,,11,2,12,9/15/2022 12:42,Fat Daddio,FALSE,,,$7.48 
943D8D5F-2B6A-4EE8-90B2-7CAB7A81BFA6,"Spade Cookie Cutter, painted black 3.25""x3""",1,$0.00 ,Cookie Cutters,Shapes,71581713252,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,12,9/3/2022 15:30,Fat Daddio,FALSE,,,$0.00 
0AD43329-F113-442F-AFCF-22737ED2E056,"Square 3"" Cookie Cutter B0709",31,$22.94 ,Cookie Cutters,Shapes,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.74 ,,31,2,1,10/28/2022 10:22,not tracked,FALSE,,,$22.94 
1EE9B0FE-7D42-487C-8CDC-B23A828A6D5E,"Star Cookie Cutter 3.5"" B740",21,$15.96 ,Cookie Cutters,Shapes,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.76 ,,21,2,1,12/23/2022 17:15,Webstaurant store,FALSE,,,$15.96 
942AD17D-B644-4876-B74D-ABDCD4703D3E,Wilton Comfort Grip Heart Cookie Cutter,4,$8.28 ,Cookie Cutters,Shapes,70896056160,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.07 ,,4,1,4,,Cookie Countess Wholesale dot com,FALSE,,,$8.28 
8DB9A3F4-2871-4498-AFE9-FFB07CA03FC9,"Wilton Comfort Grip Round Cookie Cutter 3.25""",5,$11.20 ,Cookie Cutters,Shapes,70896056085,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.24 ,,5,1,4,12/6/2022 14:13,Cookie Countess Wholesale dot com,FALSE,,,$11.20 
F4ABEB3D-1AE6-40F7-90F9-2807F6403C3D,"Wilton Hearts Cookie Cutter Set, 4pc. set",1,$2.98 ,Cookie Cutters,Shapes,70896344410,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.98 ,,1,1,6,2/16/2022 14:57,The Bakers Kitchen- wholesale at thebakerskitchen dot net,FALSE,,,$2.98 
2e41708a-98de-4010-ab2a-2a9bd136a06f,Fox Run Donut/Pixie/Shell 12-Cavity Pan,,$0.00 ,Pans,Shapes,30734044667,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,10/14/2021 14:21,DecoPac,FALSE,,,$0.00 
3b9ec5ec-6a85-41ed-8fcc-362330dfca58,"Magic Line Doll Cake Pan 9""x6""",,$0.00 ,Pans,Shapes,11417197108,4.00E+11,$29.99 ,TRUE,TRUE,TRUE,$15.10 ,,0,0,0,2/4/2022 11:10,Webstaurant store,FALSE,,,$0.00 
f2a3c26c-95cc-47b1-a09b-3ae244ec61c4,Wilton #1 Pan,,$0.00 ,Pans,Shapes,70896251947,4.00E+11,$15.99 ,TRUE,TRUE,TRUE,$8.01 ,,1,1,3,12/3/2021 16:45,Wilton (WiltonForBusiness dot com),FALSE,,,$8.01 
56fbf73e-0318-4de1-9026-d53b1bf008c9,Wilton 3-D Sports Ball Pan Set,,$0.00 ,Pans,Shapes,70896215178,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$10.00 ,,2,1,2,10/25/2022 10:40,CK Products,FALSE,,,$20.00 
2d193e58-ec77-42ad-9aa4-710d7e341cb1,Wilton Baby Bottle Cake Pan,0,$0.00 ,Pans,Shapes,70896215260,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,2,4/12/2022 10:24,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
3d207c3f-8690-411e-bb05-30822f344020,Wilton Baby Buggy Cake Pan,0,$0.00 ,Pans,Shapes,70896953193,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,2,4/26/2022 15:41,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
8da47139-fcc9-4b7e-b13e-2b5c65d6a795,Wilton Baseball Glove Cake Pan,0,$0.00 ,Pans,Shapes,,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,7/29/2020 10:57,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
409ce556-0d1c-49c2-8528-417582f5dd0a,Wilton Big Bird Cake Pan,0,$0.00 ,Pans,Shapes,70896216540,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,5/28/2022 13:04,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
a5bb0c8a-db6e-4cde-b007-a399bc8fe0e1,Wilton Book Pan,0,$0.00 ,Pans,Shapes,70896210210,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/18/2021 15:12,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
76c50c15-5b81-4272-8479-9f13be0956db,Wilton Carousel Horse Cake Pan,0,$0.00 ,Pans,Shapes,70896215192,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,5/13/2022 10:31,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
88a623f2-b598-42ca-be2e-9df58770bd8d,Wilton Cross Pan ,5,$21.70 ,Pans,Shapes,70896057648,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.34 ,,5,1,6,4/13/2022 13:03,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$21.70 
e7613679-dc48-4568-bd03-aa7e7b1a1fa6,Wilton Darth Vader Cake Pan,0,$0.00 ,Pans,Shapes,70896730350,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,-1,0,0,8/20/2021 14:12,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
ce41f4fc-ef98-42f2-be9e-adaac90a766e,Wilton Dora Cake Pan,0,$0.00 ,Pans,Shapes,70896063052,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,3/29/2022 13:35,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
