Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
27158703-7035-41ff-acdf-32b88e40350a,"3pc. Geo Heart BWB Mold 3.5""",,$0.00 ,Silicone Molds,general,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$9.99 ,,0,0,0,1/19/2021 13:01,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
5fc0df81-baee-42f4-bf2d-bc4992f6f3e6,"Cakesicle Silicone Mold, 4 cavity, 3 1/2""x1 7/8"" each cavity",,$0.00 ,Silicone Molds,general,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$5.00 ,,5,1,4,11/11/2022 11:28,Wilton (WiltonForBusiness dot com),FALSE,,,$25.00 
b3e1e40b-db4f-4903-ba9d-9acff267a93c,"Silicone Hemisphere Mold 2 5/8"", 6 cavity",,$0.00 ,Silicone Molds,general,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.82 ,,0,0,0,2/12/2021 13:42,Amazon,FALSE,,,$0.00 
94f6a6cb-0449-4f86-9abc-b8ceffa75280,"Small Chocolate Bar Silicone Mold 12cavity 1""x1.5""",,$0.00 ,Silicone Molds,general,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.87 ,,1,0,0,10/21/2022 15:05,Amazon,FALSE,,,$1.87 
388a4523-b5e1-4ff4-9943-6f9b08145417,Sweet Stamp Cake Popsicle Mold - Choc Bar,,$0.00 ,Silicone Molds,general,7.95E+12,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.45 ,,0,0,,12/2/2021 16:34,Amazon,FALSE,,,$0.00 
36d710a9-a964-4ca3-9b36-8563b672d405,Sweet Stamp Cake Popsicle Mold - Heart,,$0.00 ,Silicone Molds,general,7.95E+11,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.38 ,,1,0,,6/11/2021 14:31,Amazon,FALSE,,,$9.38 
25449a7f-55fd-40b9-8bd0-8a41e6e3da67,Sweet Stamp Cake Popsicle Mold - Mini,,$0.00 ,Silicone Molds,general,7.95E+11,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.38 ,,0,0,,11/20/2021 10:58,Amazon,FALSE,,,$0.00 
49e3d292-167d-4b8c-803c-4360a10b7e25,Sweet Stamp Cake Popsicle Mold - Mini Twist,,$0.00 ,Silicone Molds,general,,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.45 ,,0,0,,8/18/2021 13:41,Fox Run,FALSE,,,$0.00 
8d01aabe-b0bc-40a5-bdd7-0859760fa212,Sweet Stamp Cake Popsicle Mold - Standard,,$0.00 ,Silicone Molds,general,7.95E+11,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.45 ,,0,0,,9/28/2021 11:14,Fox Run,FALSE,,,$0.00 
96463a8d-8c00-4a0e-9e2e-e8a594ff649a,Wilton Banner HBD w/ Numbers Silicone Mold,,$0.00 ,Silicone Molds,general,70896094940,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.86 ,,1,1,3,7/6/2022 12:39,DecoPac,FALSE,,,$2.86 
025b0939-ce05-4350-a3b0-0b2a1e4b245d,"Wilton Gummy Bear Silicone Mold, 24cavity",,$0.00 ,Silicone Molds,general,70896095077,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.39 ,,1,1,3,11/26/2022 12:37,DecoPac,FALSE,,,$3.39 
3d534f39-49a5-4328-9b93-c02051d6b2d8,Wilton Letter & Numbers Silicone Mold,,$0.00 ,Silicone Molds,general,70896095206,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.39 ,,3,1,3,7/16/2022 16:15,DecoPac,FALSE,,,$10.17 
cfc91198-3d87-48a3-86ef-774402af92b0,"Wilton Silicone Shot Glass Mold, 8 cavity",,$0.00 ,Silicone Molds,general,70896281180,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$5.01 ,,1,1,3,11/29/2022 16:28,DecoPac,FALSE,,,$5.01 
