Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
841C4E60-66D9-4F3C-A4DD-4D16430AA792,"3D Heart Silicone Mold 2.5""x2.5"", 6 cavity",,$0.00 ,Chocolate Molds,Silicone,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$9.53 ,,1,0,0,4/21/2022 17:52,Wilton (WiltonForBusiness dot com),FALSE,,,$9.53 
6635BEA6-575C-4F6D-A55F-CDA3E28BCFC6,"Fat Daddio's Hemisphere Molds - 2.7oz. (2.76"") 6 Cavities",,$0.00 ,Chocolate Molds,Silicone,8.12E+11,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$6.41 ,,0,4,,11/22/2022 10:45,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
F9A1CA76-84D5-4D5F-BFA5-7E85296021B0,Wilton Awareness Ribbon Silicone Mold,,$0.00 ,Chocolate Molds,Silicone,70896094773,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.39 ,,2,1,3,7/6/2022 12:39,Cookie Cutter dot Com Off the beaten path,FALSE,,,$6.78 
900648B9-EA9D-4A14-BC80-2BA6D2B3065B,Wilton Rose Silicone Mold,,$0.00 ,Chocolate Molds,Silicone,70896685162,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.21 ,,2,1,3,6/29/2022 15:40,R&M International - MoreThanBaking dot com,FALSE,,,$10.42 
C6E21543-2170-4E28-98F6-6BEB089FDB3F,Wilton Silicone Chocolate Bar Mold,,$0.00 ,Chocolate Molds,Silicone,70896094810,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.39 ,,3,1,3,4/19/2022 13:41,not tracked,FALSE,,,$10.17 
A3349FA1-6213-49D1-BD0D-7F61D211C3E6,Wilton Silicone Spoon Mold,,$0.00 ,Chocolate Molds,Silicone,70896332295,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.21 ,,3,1,3,12/9/2021 14:12,not tracked,FALSE,,,$15.63 
EFB69F6A-2773-4CA1-9C81-493AAB454FF0,Wilton Succulent Silicone Mold,,$0.00 ,Chocolate Molds,Silicone,70896138347,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.20 ,,3,1,3,5/21/2022 12:45,R&M International - MoreThanBaking dot com,FALSE,,,$15.60 
68E375D5-5C0D-4906-98B1-B6C2FA36D990,"Silicone Baking Cups, 12ct. - Round",0,$0.00 ,Cupcake Liners,Silicone,70896459329,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.72 ,,0,0,,8/25/2022 11:28,Linneas Inc dot com,FALSE,,,$0.00 
673A830D-A901-4051-A621-83353240F65D,"Silicone Baking Cups, 12ct. - Square",0,$0.00 ,Cupcake Liners,Silicone,70896494245,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.72 ,,0,0,,6/8/2022 19:32,Linneas Inc dot com,FALSE,,,$0.00 
bd401d5a-d878-4e09-8e8d-296f7617d36e,Wilton Easy-Flex Silicone 12cup Mini Muffin,,$0.00 ,Pans,Silicone,70896508294,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.52 ,,1,1,3,12/14/2022 10:05,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$6.52 
bc5c30db-c1f2-4ba6-a48b-8b43e675fd33,"Wilton Easy-Flex Silicone Mini Fluted Tube, 4 Cavity",,$0.00 ,Pans,Silicone,70896508270,4.00E+11,$17.99 ,TRUE,TRUE,TRUE,$8.81 ,,1,1,3,12/20/2022 10:31,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$8.81 
f8a04283-a434-4bc8-9d0f-3af23db92055,Wilton Silicone 6cup Muffin Pan,,$0.00 ,Pans,Silicone,70896504821,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.78 ,,3,1,3,11/30/2022 10:45,Colour Mill dot com dot au,FALSE,,,$20.34 
b471d9f9-db78-421d-bf15-fa2871ed7aeb,Wilton Silicone Brownie Bite Mold,,$0.00 ,Pans,Silicone,70896249234,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.29 ,,3,1,6,11/19/2022 10:28,Colour Mill dot com dot au,FALSE,,,$21.87 
9a1c01af-75e8-4cfc-9769-d30d2b08831d,"Wilton Silicone Heart Mini Treat Mold, 6 cavity",,$0.00 ,Pans,Silicone,70896508249,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.52 ,,3,1,3,9/3/2022 10:26,Colour Mill dot com dot au,FALSE,,,$19.56 
