Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
442949e6-f054-44cf-aeb7-7131de32e897,"Beginner Cake Decorating 101 - April 13, 2022",,$0.00 ,Events,Skills - Basic,,4.00E+11,$50.00 ,TRUE,TRUE,TRUE,$25.00 ,,0,0,0,4/7/2022 20:25,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
464ecb9e-5b92-4523-becb-6cac89071b3d,"Beginner Cake Decorating 101 - March 15, 2022",,$0.00 ,Events,Skills - Basic,,4.00E+11,$50.00 ,TRUE,FALSE,TRUE,$25.00 ,,0,0,0,3/8/2022 12:09,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
82a51dc0-f096-479f-b6f7-09b91ba09922,"Beginner Cake Decorating 101 - May 12, 2022",,$0.00 ,Events,Skills - Basic,,4.00E+11,$75.00 ,TRUE,TRUE,TRUE,$20.00 ,,5,2,1,5/10/2022 10:35,Wilton (WiltonForBusiness dot com),FALSE,,,$100.00 
88e1d26d-9627-403d-9c68-de509e24032a,"Beginner Cake Decorating 101 -- May 12, 2022 - Base - BYO Stuff",,$0.00 ,Events,Skills - Basic,,4.00E+11,$50.00 ,TRUE,FALSE,FALSE,,0,0,0,,3/25/2022 10:11,not tracked,FALSE,,,$0.00 
d5a56554-ddf8-4c94-91fc-aa69bb034e0c,"Beginner Cake Decorating 101 -- May 12, 2022 - Base + I need a cake",,$0.00 ,Events,Skills - Basic,,4.00E+11,$60.00 ,TRUE,FALSE,FALSE,,0,0,0,,,CK Products,FALSE,,,$0.00 
5a9ea4e4-5599-4f33-80b2-ea3d4b40ff18,"Beginner Cake Decorating 101 -- May 12, 2022 - I Need Everything!",,$0.00 ,Events,Skills - Basic,,4.00E+11,$70.00 ,TRUE,FALSE,FALSE,,0,0,0,,4/20/2022 12:06,CK Products,FALSE,,,$0.00 
87bbd13f-18b2-40f3-8979-fc0b1ac7b07e,"Beginner Cookie Decorating - April 7, 2022",,$0.00 ,Events,Skills - Basic,,4.00E+11,$65.00 ,TRUE,FALSE,TRUE,$14.00 ,,0,0,0,4/5/2022 9:17,not tracked,FALSE,,,$0.00 
2b809856-4d7f-4af2-95cf-62c54e903071,"Beginner Cookie Decorating - June 15, 2022",,$0.00 ,Events,Skills - Basic,,4.00E+11,$65.00 ,TRUE,FALSE,TRUE,$14.00 ,,0,0,0,6/14/2022 16:03,not tracked,FALSE,,,$0.00 
063a4a88-3099-4bfb-94c3-7781a157c33b,Chocolate Dipping Class - October 2020,,$0.00 ,Events,Skills - Basic,,4.00E+11,$30.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/28/2020 20:20,not tracked,FALSE,,,$0.00 
7e95d0ec-c709-41cc-8869-d90f2f5048b0,Two-Layer Cake for Class,,$0.00 ,Events,Skills - Basic,,4.00E+11,$10.00 ,TRUE,FALSE,FALSE,,7,0,0,0,5/12/2022 17:49,Fredal 586-773-3133,FALSE,,,$0.00 
