Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
BFA89CE0-A319-4B4D-AA0E-13D7233C87D1,Celebakes Edible Confetti Pearlized Snowflakes 1.6oz.,0,$0.00 ,Decorations,Sprinkles - Christmas,7.45E+11,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.23 ,,0,2,6,12/4/2021 13:00,Genies Dream - StencilGenie dot com PW is GENIE321,FALSE,,,$0.00 
AE2CE12B-D8B8-4AD7-B008-CCEAA6F0290F,"CK Candy Canes Edible Confetti (Peppermint Flavor), 3oz.",0,$0.00 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$1.06 ,,0,0,0,12/8/2020 16:04,DecoPac,FALSE,,,$0.00 
A3BE6879-7ED4-493A-A441-42A268576820,"Deluxe Fusion Mix - Merry & Bright, 3oz.",2,$3.22 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.61 ,,3,2,1,12/22/2022 12:13,Linneas Inc dot com,FALSE,,,$4.83 
802BE6DD-6D49-4B0F-805E-77F8B4CE40B2,"Fusion Mix, Christmas, 3oz.",0,$0.00 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$0.89 ,,0,4,9,12/20/2022 13:51,Sweets & Treats,FALSE,,,$0.00 
56E6864C-DAAA-4772-85E2-26257109F467,"Fusion Mix, Winter 3oz.",11,$9.57 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.89 ,TRUE,TRUE,TRUE,$0.87 ,,19,2,8,12/22/2022 15:55,DecoPac,FALSE,,,$16.53 
75760C2C-D720-4001-AEA5-1F3B5C99062B,"Holly & Berry Blend, 3oz.",0,$0.00 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.89 ,TRUE,FALSE,TRUE,$1.17 ,,1,4,26,12/10/2022 11:03,CK Products,FALSE,,,$1.17 
EFF5B6B2-357D-45CC-A20F-C8C3031995A6,"Red & White Peppermint Sugar Crystals, 4oz.",0,$0.00 ,Decorations,Sprinkles - Christmas,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.12 ,,0,2,1,12/23/2022 10:48,CK Products,FALSE,,,$0.00 
D99A8A38-11F8-491D-BDF5-5B43BCA1DDF9,"Sweets & Treats Holiday Sprinkle Mixes, 3oz. - Elfie Selfie",1,$3.38 ,Decorations,Sprinkles - Christmas,,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.38 ,,1,2,,12/2/2022 11:07,CK Products,FALSE,,,$3.38 
8FD3BCE0-DF35-46E1-9790-40AA72FA81DE,"Sweets & Treats Holiday Sprinkle Mixes, 3oz. - Emerald Isle",5,$16.90 ,Decorations,Sprinkles - Christmas,,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.38 ,,5,0,,,Life of the Party,FALSE,,,$16.90 
FE70E52C-B0F7-4861-8E55-DBE3BAA7C63C,"Sweets & Treats Holiday Sprinkle Mixes, 3oz. - Forest Frost",3,$6.75 ,Decorations,Sprinkles - Christmas,,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.25 ,,3,0,,12/21/2022 14:56,CK Products,FALSE,,,$6.75 
