Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
65E8C164-BDEB-48A4-AFC8-4EFDA552A285,"""Mom"" Royal Icing Heart 0.875"" x 0.75"" 2ct.",91,$0.00 ,Decorations,Sprinkles,,4.00E+11,$0.99 ,TRUE,FALSE,TRUE,$0.00 ,,91,0,0,4/13/2021 14:18,Choklit Molds dot com,FALSE,,,$0.00 
DFA1FCB3-E2CC-47B0-9040-D8EC3B104103,"Assorted Alphabet Quins, 3oz.",16,$12.32 ,Decorations,Sprinkles,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.77 ,,16,1,1,10/29/2022 10:55,Life of the Party,FALSE,,,$12.32 
0B76A040-CD4E-4E5C-A07B-5400E45F1999,"Blue Confetti Quins, 3oz.",27,$9.45 ,Decorations,Sprinkles,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.35 ,,28,3,1,8/12/2022 16:47,CK Products,FALSE,,,$9.80 
0501516B-DBCB-409D-A97A-A245302196B8,"Bright Butterfly Quins, 3oz.",2,$1.86 ,Decorations,Sprinkles,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.93 ,,2,2,6,8/5/2022 11:41,CK Products,FALSE,,,$1.86 
11E9D6C8-CBAF-48B8-94AC-F3E4B235D082,"Bright Confetti Quins, 3oz.",5,$4.65 ,Decorations,Sprinkles,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.93 ,,5,2,1,12/20/2022 10:53,Avalon Deco - do NOT order from here,FALSE,,,$4.65 
AE755BE4-020B-45DB-BF24-9C617E999368,Bulk Nonpareils - Black,5,$3.75 ,Decorations,Sprinkles,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.75 ,,5,0,,7/12/2022 11:36,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$3.75 
F3B67042-F4B5-4118-B616-26FBF731B47D,Bulk Nonpareils - Blue,8,$6.10 ,Decorations,Sprinkles,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.76 ,,8,5,,12/1/2022 14:48,Avalon Deco - do NOT order from here,FALSE,,,$6.10 
526CE435-9709-4CA1-BD14-40C53F6F47D8,Bulk Nonpareils - Christmas Mix,0,$0.00 ,Decorations,Sprinkles,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.48 ,,1,2,,12/16/2022 15:25,AnnClarkCookieCutters dot com,FALSE,,,$0.48 
B1499C0D-FC72-4612-9473-27FAB3C640C7,Bulk Nonpareils - Custom Mix,0,$0.00 ,Decorations,Sprinkles,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.75 ,,-15,0,,10/6/2022 13:04,DecoPac,FALSE,,,($11.25)
899A1D5B-107A-4A74-944F-C4E82DFD0D4E,Bulk Nonpareils - Gold,20,$19.20 ,Decorations,Sprinkles,,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$0.96 ,,23,2,,12/22/2022 16:23,not tracked,FALSE,,,$22.08 
