Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
7CAE1649-CE5B-4026-BE7B-963583469DC6,"American Flag Asst Sugars, 3ct.",17,$16.49 ,Decorations,Sugars,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.97 ,,17,0,0,12/14/2022 10:31,CK Products,FALSE,,,$16.49 
90E0B9B8-2F6D-4AE6-83D3-1EDE35546508,"Asst'd Sports Sugars, 8ct.",22,$16.50 ,Decorations,Sugars,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.75 ,,22,3,1,7/22/2022 15:47,Linneas Inc dot com,FALSE,,,$16.50 
59A5E56A-E509-4639-8E60-C04EAB3C24ED,"Baby Onesie Sugar Asst., 3ct.",0,$0.00 ,Decorations,Sugars,,4.00E+11,$1.59 ,TRUE,FALSE,TRUE,$0.76 ,,-1,0,0,10/18/2022 13:14,CK Products,FALSE,,,($0.76)
4FD1ABD1-1DBC-4D02-AD37-8EE85E81A4FE,"Baby Shower Asst Sugars, 4ct.",5,$5.80 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.16 ,,6,4,19,12/6/2022 11:01,Pfiel & Holing,FALSE,,,$6.96 
046CDD82-64F8-482E-A45C-4B4A6B0CCF70,"Baseball Asst Sugars, 6ct.",24,$20.64 ,Decorations,Sugars,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.86 ,,24,2,1,12/14/2022 10:31,DecoPac,FALSE,,,$20.64 
977FFECA-F84F-418D-97F6-749C427AEDFB,"Basketball Sugars, 6ct.",22,$14.30 ,Decorations,Sugars,,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.65 ,,22,3,38,11/18/2022 11:32,CK Products,FALSE,,,$14.30 
9D9F0680-652E-4C2F-9D6C-20583AF64B96,"Bulk Sanding Sugar, 4oz. - Black",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,0,0,,5/21/2022 10:44,Cookie Cutters dot Com,FALSE,,,$0.00 
34095A96-04CD-4022-937D-ACC381BC52E8,"Bulk Sanding Sugar, 4oz. - Bumblebee Yellow",8,$5.68 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.71 ,,8,0,,12/13/2022 14:32,Cookie Cutter dot Com Off the beaten path,FALSE,,,$5.68 
28847F59-97FD-43DF-A492-CC2A154E1A11,"Bulk Sanding Sugar, 4oz. - Gold",1,$0.66 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,2,2,,12/21/2022 15:01,Linneas Inc dot com,FALSE,,,$1.32 
5D29CB7A-FF14-4564-957E-3619F017968E,"Bulk Sanding Sugar, 4oz. - Green",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.58 ,,1,0,,12/21/2022 15:03,Linneas Inc dot com,FALSE,,,$0.58 
7B23544B-A887-407F-8D7A-19F46D5C473F,"Bulk Sanding Sugar, 4oz. - Lime Green",8,$5.68 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.71 ,,8,0,,12/16/2022 11:01,Choklit Molds dot com,FALSE,,,$5.68 
BDCD34E5-DE01-4402-A8B9-63E68BE17450,"Bulk Sanding Sugar, 4oz. - Orange",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,0,0,,8/18/2022 12:34,Choklit Molds dot com,FALSE,,,$0.00 
69B37332-DAE0-4161-AF3A-20BEEA4AD937,"Bulk Sanding Sugar, 4oz. - Perfectly Pink",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,2,1,,12/9/2022 10:45,Linneas Inc dot com,FALSE,,,$1.32 
725B8E61-D83A-4349-BC51-CD6085389B3A,"Bulk Sanding Sugar, 4oz. - Pink",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,0,0,,7/22/2022 12:49,Amazon,FALSE,,,$0.00 
0D4EF5D7-2D2B-4214-A76B-5F002DB6AB34,"Bulk Sanding Sugar, 4oz. - Purple",4,$2.64 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.66 ,,5,2,,12/21/2022 12:43,Linneas Inc dot com,FALSE,,,$3.30 
90E97512-A0E5-4347-B12F-29F848F4BC85,"Bulk Sanding Sugar, 4oz. - Red",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.58 ,,0,0,,12/21/2022 12:43,Forminhas Boston,FALSE,,,$0.00 
E81738E5-0438-42BE-BB3E-77F44E6013C6,"Bulk Sanding Sugar, 4oz. - Rose Gold",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$0.97 ,,0,0,,8/12/2021 14:25,Linneas Inc dot com,FALSE,,,$0.00 
98CF079A-C0BE-4722-8EE5-ADAE341DFF3D,"Bulk Sanding Sugar, 4oz. - Shimmering Gold",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.02 ,,0,0,,12/11/2021 14:54,Linneas Inc dot com,FALSE,,,$0.00 
16346BD4-7B40-4F24-968D-79C9606F5E29,"Bulk Sanding Sugar, 4oz. - Sky Blue",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.69 ,,0,0,,12/1/2021 15:27,Pfiel & Holing,FALSE,,,$0.00 
B43DE3DF-22C0-46A5-B5A1-BF68365486D3,"Bulk Sanding Sugar, 4oz. - Teal",0,$0.00 ,Decorations,Sugars,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.65 ,,0,0,,12/17/2021 16:24,Linneas Inc dot com,FALSE,,,$0.00 
