Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
C8CB6132-878D-4326-AB07-C0329111056D,"Icing Tip Brushes, 2ct.",4,$11.32 ,Decorating Tools,Tips,7.69E+11,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.83 ,,4,1,1,12/21/2022 15:25,Linneas Inc dot com,FALSE,,,$11.32 
E9BF1F06-6ACA-4C1C-8484-703AAC4B2CA1,Large Coupler #404 Ateco,5,$5.25 ,Decorating Tools,Tips,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$1.05 ,,5,2,6,10/22/2022 14:24,Nashville Wraps,FALSE,,,$5.25 
8C99D3A9-CAAE-4292-95C5-FDC97AA88EF6,PME Supatube Tip #18,11,$0.00 ,Decorating Tools,Tips,5.06E+12,4.00E+11,$5.29 ,TRUE,TRUE,TRUE,$0.00 ,,11,1,0,8/4/2020 17:02,DecoPac,FALSE,,,$0.00 
BB06F06C-0607-4780-941D-247147E1F051,PME Supatube Writing Tube Tip 1.5,0,$0.00 ,Decorating Tools,Tips,5.06E+12,4.00E+11,$6.49 ,TRUE,TRUE,TRUE,$3.28 ,,0,1,0,12/22/2022 13:31,CK Products,FALSE,,,$0.00 
A2F12D93-D2AF-475E-8E0F-2EB2A40A8C80,Russian Piping Tips - #241 Cherry Blossom,2,$2.18 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.09 ,,2,1,,9/30/2022 19:37,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$2.18 
97EF0AFE-248B-480E-A897-4FE961A33D6E,Russian Piping Tips - #242,27,$22.73 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.84 ,,27,1,,9/30/2022 19:37,DecoPac,FALSE,,,$22.73 
A42B4320-7F1E-413F-B001-737AC51C21A8,Russian Piping Tips - #243 Tulip,25,$21.00 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.84 ,,25,1,,,DecoPac,FALSE,,,$21.00 
BA9BA71A-A0C7-4A95-95BE-BCF371A86A63,Russian Piping Tips - #244 Tulip,25,$20.00 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.80 ,,25,1,,,Life of the Party,FALSE,,,$20.00 
CC53683B-C182-49BD-A307-840608B4388F,Russian Piping Tips - #247,3,$3.42 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.14 ,,3,1,,5/21/2022 16:56,DecoPac,FALSE,,,$3.42 
5C2EA6FB-465E-4CCD-ADDA-FC57DD8FEAE4,Russian Piping Tips - #254,4,$0.00 ,Decorating Tools,Tips,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,4,1,,5/21/2022 16:56,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
