Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
0AA9425B-AF61-480B-8D00-3EF48AAB9BD2,Ateco Chocolate Dipping Basket,1,$0.00 ,Chocolate,Tools,14963013731,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,4/9/2022 13:13,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
92BF93D3-9557-4099-9BE5-55343B57116A,"Ateco Dipping Fork, 2 prong",0,$0.00 ,Chocolate,Tools,14963013809,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.47 ,,0,1,3,12/7/2022 16:42,Linneas Inc dot com,FALSE,,,$0.00 
EE664D8B-D17C-437E-8748-1063CB6D112A,"Ateco Dipping Tool Set, 3pc.",2,$26.26 ,Chocolate,Tools,14963013786,4.00E+11,$22.99 ,TRUE,TRUE,TRUE,$13.13 ,,2,1,3,12/22/2022 11:54,Wilton (WiltonForBusiness dot com),FALSE,,,$26.26 
9676CDBA-4371-4E43-BD38-AE601BCE71AB,Wilton Dipping Scoop,0,$0.00 ,Chocolate,Tools,70896050182,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.30 ,,0,1,4,12/22/2022 13:10,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
D203ABC2-89E4-4C19-9532-E9376A4288E3,Wilton Dipping Tools (3pk.),0,$0.00 ,Chocolate,Tools,70896410177,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,12/8/2020 10:03,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
8606CA48-960F-457A-AFD0-C6798FE43781,Wilton Silicone Melting Bottle,4,$17.16 ,Chocolate,Tools,70896693129,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.29 ,,4,1,3,12/10/2022 15:34,Wilton (WiltonForBusiness dot com),FALSE,,,$17.16 
83fffcc9-dd07-4a17-9206-4688ef73116d,"""Last Bit"" Condiment Spoon",,$0.00 ,general,Tools,7.69E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.00 ,,0,0,0,9/2/2022 15:51,Fredal 586-773-3133,FALSE,,,$0.00 
abc87f3c-c85f-4cc1-a91e-b5d2a7d6bcb8,"10"" Stainless Steel 6 Cut Pie & Cake Cutter",,$0.00 ,general,Tools,8.42E+11,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.50 ,,1,0,0,,Fredal 586-773-3133,FALSE,,,$5.50 
272dcaad-f4fc-42fb-b87f-43d807530068,"10"" Stainless Steel 8 Cut Pie & Cake Cutter",,$0.00 ,general,Tools,7.56E+11,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$7.12 ,,2,1,1,7/1/2022 16:39,Fredal 586-773-3133,FALSE,,,$14.24 
8710922e-84e6-4ca2-867e-938fbc0f2d46,"12"" S/S Whisk",,$0.00 ,general,Tools,7.89E+11,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.81 ,,2,1,4,11/18/2022 13:43,Fredal 586-773-3133,FALSE,,,$7.62 
c4d459c3-25d5-4f61-ae5f-0eefa7a29dc6,"13"" Stainless Steel Handheld Zester",,$0.00 ,general,Tools,4.00E+11,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.79 ,,1,1,1,12/13/2022 12:43,Fredal 586-773-3133,FALSE,,,$5.79 
776b0fa2-24b1-420a-b682-d0aa18728ea6,"5.25""x4.75"" S/S Dough Cutter/Bench Scraper",,$0.00 ,general,Tools,7.89E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.99 ,,2,2,6,12/20/2022 16:01,not tracked,FALSE,,,$5.98 
a110c366-1b8c-4e0c-9645-2f549644bbb8,"8"" Patterned Rolling Pin",,$0.00 ,general,Tools,,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/11/2021 13:50,Fredal 586-773-3133,FALSE,,,$0.00 
8310f989-36c6-4439-9388-1a39332622f4,Angel Food Cake Breaker ,,$0.00 ,general,Tools,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.75 ,,1,1,3,3/9/2022 13:23,Fredal 586-773-3133,FALSE,,,$2.75 
9812af1b-a53c-435f-a1bb-b62e5ac3e9ce,Ateco Cake Tester ,,$0.00 ,general,Tools,14963014455,4.00E+11,$1.59 ,TRUE,TRUE,TRUE,$0.77 ,,67,3,12,12/20/2022 15:33,Fredal 586-773-3133,FALSE,,,$51.59 
750b399f-c8ae-4b39-8a58-d3cb678447f8,Ateco Cutting Wheel #1322,,$0.00 ,general,Tools,14963013229,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.67 ,,4,1,3,6/2/2022 14:07,Fredal 586-773-3133,FALSE,,,$30.68 
dcd2f7f7-1dd0-4e2f-ac7c-38e7210c2002,Bakelicious Adjustable Rolling Pin,,$0.00 ,general,Tools,30734738092,4.00E+11,$43.99 ,TRUE,TRUE,TRUE,$22.01 ,,0,1,0,11/29/2022 13:40,Fredal 586-773-3133,FALSE,,,$0.00 
