Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
70AFE10B-6BF1-479C-ADDC-DECC28E6CDAC,3.5” x 2.5” Kite Sucker Choc Mold 5-cav LOTP K3,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
8646D7D3-F0E8-4CB9-9C7C-C7C97554E1E0,Asst'd Building Blocks Choc Mold LOTP K172,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,6,5/18/2022 15:17,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
CA683879-EE63-4C9C-BF00-0737F2EEBF8C,Building Blocks Choc Mold LOTP K162,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,6,9/22/2022 10:37,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
DB71E55F-0AF1-40BF-96E3-C1E42F11BD4B,Building Blocks Sucker Choc Mold LOTP K165,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,0,1,6,9/22/2022 10:37,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
BB7A016B-DD0E-45F2-85BA-01875B68E2EC,"Dice Candy Mold, Bite Size, CML 1370",,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,4,,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
C46DBD23-12D0-4FF3-874B-1A4188CB5417,Domino Choc Mold LOTP M036,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,1,,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
EA9E1001-C364-4750-AFD4-CD15CF9D1435,Pokemon Ball Sucker Choc Mold CML 3456,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,4,1,4,9/22/2022 10:37,R&M International - MoreThanBaking dot com,FALSE,,,$3.88 
4CE9A96C-4A91-4D9F-9714-9AD6AFED94A1,Pokemon Oreo Choc Mold CML 1686,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,4,,R&M International - MoreThanBaking dot com,FALSE,,,$3.96 
BDDB8AC0-8519-4BAA-8701-FB8764AA6623,Robot Sucker Choc Mold LOTP K040,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,5,1,6,10/7/2021 11:11,R&M International - MoreThanBaking dot com,FALSE,,,$4.50 
95D839E6-3F36-4686-B47F-2A0E969F4BA0,Tic Tac Toe Choc Mold LOTP M060,,$0.00 ,Chocolate Molds,Toys & Games,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,1,,R&M International - MoreThanBaking dot com,FALSE,,,$6.18 
BA92FA8A-702A-4B80-B1C5-FD296CED2144,"Wilton Gamer Silicone Candy Mold, 15cavity",,$0.00 ,Chocolate Molds,Toys & Games,70896094964,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.39 ,,2,1,3,9/22/2022 16:56,Cookie Cutters dot Com,FALSE,,,$6.78 
