Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
41BCCED3-9C31-41E5-A238-FE0642EAAE01,"3 5/8"" Race Car Sucker Choc Mold 90-6210",,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,8/31/2022 12:17,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
1D277D4E-2437-4259-8716-B4EA8617C2DA,"Airplane 3½"" 3D Mold 90-15369",,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.79 ,,3,1,3,7/16/2022 12:59,Wilton (WiltonForBusiness dot com),FALSE,,,$2.37 
D31C01ED-AC6E-4D9D-819B-5454A802716A,Boat Assortment 3D Mold 90-15367,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/29/2022 14:03,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
FE3A17E6-346E-4733-BE45-DFE27548673E,Corvette and Racing Flags 2-Cavity Sucker Mold 90-6237,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
525DE094-9D26-4584-B65E-1EF50B844ED3,Minivan/Station Wagon 10-Cavity Mold 90-15309,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,12/8/2022 12:17,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
02F1F445-F36E-45CA-A1B9-E46BC6211883,Monster Truck 3-Cavity Sucker Mold LOTP J112,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.88 ,,6,1,3,8/3/2022 12:06,not tracked,FALSE,,,$5.28 
8EEA4A22-9620-43A1-B78B-74D3536A87EB,"Motorcycle 2"" Mint Choc Mold 90-15308",,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,1,3,7/10/2021 15:50,Wilton (WiltonForBusiness dot com),FALSE,,,$3.20 
3227D170-93A7-47A4-81F7-9CC8A871F27C,Motorcycle Choc Mold 90-15389,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,1,3,7/10/2021 15:50,Linneas Inc dot com,FALSE,,,$3.20 
1CB98AF3-93B7-4547-A98D-05AC4E91D8B6,Motorcycle Sucker Choc Mold 90-15341,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
710297F8-7FF8-4037-A3C3-288F5B86AD07,Small Train Choc Mold LOTP K022,,$0.00 ,Chocolate Molds,Transportation,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,3,1,6,12/20/2022 14:29,Cookie Cutters dot Com,FALSE,,,$2.70 
