Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
83fffcc9-dd07-4a17-9206-4688ef73116d,"""Last Bit"" Condiment Spoon",,$0.00 ,general,Tools,7.69E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.00 ,,0,0,0,9/2/2022 15:51,Fredal 586-773-3133,FALSE,,,$0.00 
a1948680-4b99-48f1-aa0c-4b15ce8ec9ca,#1 Dad Sucker Choc Mold LOTP D023,,$0.00 ,general,general,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,5,0,0,6/16/2021 12:36,Fredal 586-773-3133,FALSE,,,$4.50 
7adddb8f-4d64-4e37-941b-a7e23dd33c93,"10"" parchment circles, approx 50",,$0.00 ,general,general,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.04 ,,12,0,0,8/26/2022 13:16,Fredal 586-773-3133,FALSE,,,$36.48 
abc87f3c-c85f-4cc1-a91e-b5d2a7d6bcb8,"10"" Stainless Steel 6 Cut Pie & Cake Cutter",,$0.00 ,general,Tools,8.42E+11,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.50 ,,1,0,0,,Fredal 586-773-3133,FALSE,,,$5.50 
272dcaad-f4fc-42fb-b87f-43d807530068,"10"" Stainless Steel 8 Cut Pie & Cake Cutter",,$0.00 ,general,Tools,7.56E+11,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$7.12 ,,2,1,1,7/1/2022 16:39,Fredal 586-773-3133,FALSE,,,$14.24 
8710922e-84e6-4ca2-867e-938fbc0f2d46,"12"" S/S Whisk",,$0.00 ,general,Tools,7.89E+11,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.81 ,,2,1,4,11/18/2022 13:43,Fredal 586-773-3133,FALSE,,,$7.62 
c4d459c3-25d5-4f61-ae5f-0eefa7a29dc6,"13"" Stainless Steel Handheld Zester",,$0.00 ,general,Tools,4.00E+11,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.79 ,,1,1,1,12/13/2022 12:43,Fredal 586-773-3133,FALSE,,,$5.79 
2f3b5e49-19ad-4d24-b8f3-6fff22402c37,"15"" Wood Rolling Pin",,$0.00 ,general,general,7.89E+11,4.00E+11,$32.99 ,TRUE,TRUE,TRUE,$16.50 ,,1,0,0,11/19/2022 13:29,Fredal 586-773-3133,FALSE,,,$16.50 
8a46b8cb-2c35-4715-9f3f-bf096965af74,2 pc. Mini Whisk Set,,$0.00 ,general,general,7.69E+11,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.94 ,,5,1,3,12/2/2022 13:27,not tracked,FALSE,,,$9.70 
7381d8be-7913-4ec8-b0ab-c5988d29087e,"4.5"" Popsicle Sticks, 50ct.",,$0.00 ,general,general,7.45E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.41 ,,6,1,5,12/14/2022 16:19,not tracked,FALSE,,,$2.46 
